,ticker,name,calendardate,sector,industry,revenue,fcfmargin,eps,oppmargin,profitmargin,netmargin,pe,roc,roe
77055,NRG,NRG ENERGY INC,2019-03-31,Utilities,Utilities - Independent Power Producers,2165000000.0,-0.06466512702078522,1.73,0.10207852193995381,0.22263279445727482,0.2374133949191686,25.397,0.07538317172349077,-0.31339401820546164
77051,NRG,NRG ENERGY INC,2018-03-31,Utilities,Utilities - Independent Power Producers,2065000000.0,0.09443099273607748,0.88,0.174818401937046,0.1351089588377724,0.32929782082324455,-5.671,0.0161439648188867,-2.082089552238806
77066,NRG,NRG ENERGY INC,2020-12-31,Utilities,Utilities - Independent Power Producers,2027000000.0,0.1914158855451406,-0.7,-0.007893438579181056,-0.08534780463739516,0.20325604341391218,17.981,-0.014909937085236576,-0.10297619047619047
77059,NRG,NRG ENERGY INC,2020-03-31,Utilities,Utilities - Independent Power Producers,2019000000.0,0.0703318474492323,0.49,0.12085190688459634,0.05993065874195146,0.27835562159484895,1.656,0.012437043889402817,0.07877604166666667
77054,NRG,NRG ENERGY INC,2018-12-31,Utilities,Utilities - Independent Power Producers,1992000000.0,0.1330321285140562,-0.03,0.02459839357429719,-0.006024096385542169,0.19879518072289157,42.84,-0.0019157088122605363,0.009724473257698542
77050,NRG,NRG ENERGY INC,2017-12-31,Utilities,Utilities - Independent Power Producers,1828000000.0,0.43326039387308535,-4.84,-0.6942013129102844,-0.8391684901531729,0.29048140043763676,-4.189,-0.15785140975509365,4.433526011560693
39235,EXC,EXELON CORP,2018-03-31,Utilities,Utilities - Diversified,9693000000.0,-0.03899721448467967,0.61,0.11358712472918601,0.060352831940575676,0.22036521200866604,11.154,0.008812629929800248,0.01935099732063114
39252,EXC,EXELON CORP,2021-12-31,Utilities,Utilities - Diversified,9632000000.0,-0.32599667774086377,0.4,0.06426495016611296,0.040593853820598005,0.1674626245847176,33.123,0.0041327992051496155,0.011368592446137296
39239,EXC,EXELON CORP,2019-03-31,Utilities,Utilities - Diversified,9477000000.0,-0.08747493932679118,0.93,0.12852168407723963,0.0957053920016883,0.24163764904505644,20.9,0.013246870846660532,0.028924960933762796
39237,EXC,EXELON CORP,2018-09-30,Utilities,Utilities - Diversified,9403000000.0,0.11868552589599064,0.76,0.12187599702222694,0.07795384451770712,0.23992342869297034,11.309,0.01085379216394705,0.023629916183107672
39241,EXC,EXELON CORP,2019-09-30,Utilities,Utilities - Diversified,8929000000.0,0.09116362414604098,0.79,0.15152872662112218,0.0864598499272035,0.27472281330496134,20.319,0.011070322358609613,0.02410767261031134
39245,EXC,EXELON CORP,2020-09-30,Utilities,Utilities - Diversified,8853000000.0,-0.03287021348695358,0.51,0.08686321021122784,0.05659098610640461,0.23212470349034225,14.667,0.006954083615568264,0.015235372825690305
39238,EXC,EXELON CORP,2018-12-31,Utilities,Utilities - Diversified,8808000000.0,-0.014532243415077202,0.15,0.07970027247956403,0.016689373297002725,0.20095367847411444,21.752,0.0021852562101413726,0.004781887381672685
39233,EXC,EXELON CORP,2017-09-30,Utilities,Utilities - Diversified,8768000000.0,0.12169251824817519,0.86,0.17016423357664234,0.09386405109489052,0.2845574817518248,17.23,0.012846528471528472,0.029288256227758006
39231,EXC,EXELON CORP,2017-03-31,Utilities,Utilities - Diversified,8747000000.0,-0.10689379215731108,1.07,0.12369955413284554,0.11318166228421173,0.2256773751000343,17.203,0.015491018338862114,0.03731624575951753
39243,EXC,EXELON CORP,2020-03-31,Utilities,Utilities - Diversified,8747000000.0,-0.10700811706870927,0.6,0.13947639190579628,0.06653709843374872,0.25597347662055564,13.741,0.008026811204435434,0.01791761591035035
39234,EXC,EXELON CORP,2017-12-31,Utilities,Utilities - Diversified,8378000000.0,-0.026378610646932442,1.96,0.15313917402721414,0.2234423490093101,0.24886607782286943,10.02,0.028589755337670667,0.06261707251806262
39242,EXC,EXELON CORP,2019-12-31,Utilities,Utilities - Diversified,8342000000.0,-0.08738911532006713,0.79,0.11532006713018461,0.09254375449532486,0.23543514744665547,15.095,0.011024948945346528,0.023957298907646474
39250,EXC,EXELON CORP,2020-12-31,Utilities,Utilities - Diversified,8114000000.0,-0.2993591323638156,0.37,0.033152575794922354,0.044244515651959575,0.24192753265960068,20.983,0.004991796212352958,0.011017339266533682
39236,EXC,EXELON CORP,2018-06-30,Utilities,Utilities - Diversified,8076000000.0,0.05448241703813769,0.56,0.11664190193164933,0.06674096087171867,0.25086676572560673,10.769,0.008106116433308769,0.017663444207766672
39240,EXC,EXELON CORP,2019-06-30,Utilities,Utilities - Diversified,7689000000.0,0.020158668227337754,0.5,0.10937703212381324,0.06294706723891273,0.24541552867733124,20.497,0.007046970094056667,0.015341701534170154
39232,EXC,EXELON CORP,2017-06-30,Utilities,Utilities - Diversified,7665000000.0,-0.0019569471624266144,0.1,0.03913894324853229,0.012393998695368558,0.158382257012394,18.915,0.00148720999405116,0.003448776591882669
39244,EXC,EXELON CORP,2020-06-30,Utilities,Utilities - Diversified,7322000000.0,-0.021442228899207865,0.53,0.07716470909587544,0.07115542201584267,0.21223709369024857,13.359,0.007152859770998655,0.01593126012904015
39248,EXC,EXELON CORP,2022-03-31,Utilities,Utilities - Diversified,5327000000.0,-0.026281208935611037,0.61,0.16895062887178525,0.1120705838182842,0.32232025530317254,18.011,0.009484771936513989,0.02541398833595845
39247,EXC,EXELON CORP,2021-09-30,Utilities,Utilities - Diversified,4863000000.0,0.22064569195969566,1.23,0.1554595928439235,0.2473781616286243,0.3113304544519844,28.237,0.015922808132147394,0.03553809340935275
39249,EXC,EXELON CORP,2022-09-30,Utilities,Utilities - Diversified,4845000000.0,-0.15913312693498452,0.68,0.2086687306501548,0.1395252837977296,0.37894736842105264,17.252,0.010688591983556012,0.02749979659913758
39251,EXC,EXELON CORP,2021-03-31,Utilities,Utilities - Diversified,4632000000.0,-0.7342400690846287,-0.3,0.17789291882556132,-0.06239205526770294,0.34132124352331605,39.107,-0.0039021360481758527,-0.009027018585038264
39253,EXC,EXELON CORP,2022-06-30,Utilities,Utilities - Diversified,4239000000.0,-0.029959896201934417,0.47,0.16371785798537392,0.10969568294409059,0.3599905638122199,16.726,0.007458736345700399,0.019656746702739262
39246,EXC,EXELON CORP,2021-06-30,Utilities,Utilities - Diversified,4020000000.0,0.12412935323383084,0.41,0.14427860696517414,0.09975124378109453,0.3263681592039801,44.546,0.005485260926065248,0.012476664592408215
43849,FSLR,FIRST SOLAR INC,2019-12-31,Technology,Solar,1399377000.0,0.44558900139133345,-0.56,-0.08422748122914697,-0.04245317737821902,0.23835964146902514,-51.322,-0.010668651175620422,-0.011656016451213093
43840,FSLR,FIRST SOLAR INC,2017-09-30,Technology,Solar,1087026000.0,0.4450233941046488,1.97,0.19041770850007267,0.18927514153295322,0.2684388413892584,-9.899,0.03513405609509199,0.037324422991381605
43852,FSLR,FIRST SOLAR INC,2020-09-30,Technology,Solar,927565000.0,0.1094963695266639,1.46,0.2233406823241498,0.16714408154684576,0.3158969991321363,31.422,0.027406314428137554,0.02873123672539845
